Document_Type,Aadhaar_Number,Name,Date_of_Birth,Gender,Pincode,Label
Aadhaar,3874 6556 7493,Ayaan Dhar,1981-01-01,Female,676569,0
Aadhaar,9949 6971 1340,Lipika Basak,1955-01-01,Female,559277,0
Aadhaar,9485 8334 7347,Rachita Parmar,1999-01-01,Female,945560,1
Aadhaar,5158 9492 9132,Libni Ravi,1999-01-01,Male,426298,0
Aadhaar,5275 6404 8868,Dominic Srinivasan,1965-01-01,Female,247310,1
Aadhaar,4245 5900 2453,Nimrat Jani,1960-01-01,Male,888558,0
Aadhaar,1799 9252 4160,Kritika Ben,1977-01-01,Female,386230,0
Aadhaar,8614 3159 6109,Jacob Nagi,1955-01-01,Male,276536,0
Aadhaar,1634 3050 2484,Tarak Prabhu,1993-01-01,Female,176505,1
Aadhaar,2614 1768 8205,Ansh Kade,1961-01-01,Male,998677,1
Aadhaar,1661 8599 4226,Falan Bala,1984-01-01,Male,233190,1
Aadhaar,4605 1033 5031,Imaran Rama,1977-01-01,Male,454372,1
Aadhaar,6611 5866 3028,Lekha Sarin,1993-01-01,Female,782052,0
Aadhaar,6178 8282 6154,Turvi Char,1992-01-01,Male,664061,0
Aadhaar,7822 5920 4090,Aarav Halder,1979-01-01,Female,974724,1
Aadhaar,5256 2824 7620,Wahab Mutti,1985-01-01,Female,659133,1
Aadhaar,2041 2561 4307,Ojas More,1977-01-01,Male,953930,1
Aadhaar,6422 1910 3359,Ekbal Bose,1975-01-01,Male,435291,1
Aadhaar,8461 8849 7175,Devika Bora,1973-01-01,Female,385673,0
Aadhaar,8332 6716 5685,Jason Naik,1970-01-01,Female,589433,1
Aadhaar,5492 2205 7543,Aarini Dugar,1984-01-01,Female,872347,0
Aadhaar,5420 8421 8377,Amrita Dave,1965-01-01,Male,922899,0
Aadhaar,8857 2080 6873,Aayush Sant,1959-01-01,Female,643766,0
Aadhaar,1448 5440 8618,Hemal Golla,1985-01-01,Female,132634,1
Aadhaar,7256 9026 1763,Jeet Chatterjee,1952-01-01,Male,366065,1
Aadhaar,9193 3149 4785,Mekhala Bava,1950-01-01,Male,809577,1
Aadhaar,5931 5866 8396,Triveni Kumer,1977-01-01,Female,770997,0
Aadhaar,5077 8058 7182,Devika Issac,1989-01-01,Male,353258,0
Aadhaar,4437 1468 3896,Ucchal Pathak,1991-01-01,Female,972114,1
Aadhaar,3282 8375 6337,Damini Sampath,1984-01-01,Female,220022,0
Aadhaar,7487 6870 8788,Ekansh Pal,1985-01-01,Female,612778,1
Aadhaar,8805 6051 4563,Aryan Balay,1992-01-01,Female,169638,1
Aadhaar,1731 4813 6519,Zayan Majumdar,1957-01-01,Male,151919,0
Aadhaar,7232 3892 6697,Harish Loyal,1996-01-01,Male,926040,1
Aadhaar,1101 4206 4471,Leena Kota,1952-01-01,Male,967018,1
Aadhaar,9376 2499 8562,Falan Deep,1982-01-01,Male,155400,0
Aadhaar,8383 5909 4171,Pushti Balan,1984-01-01,Male,967454,0
Aadhaar,1955 8653 7517,Faraj Varkey,1997-01-01,Female,902883,0
Aadhaar,7440 4628 1704,Gavin Manne,1955-01-01,Female,741926,1
Aadhaar,6055 8346 7566,Bhavya Sethi,1962-01-01,Female,670899,1
Aadhaar,2806 2470 2914,Hardik Ahluwalia,1997-01-01,Female,784924,1
Aadhaar,3656 4761 9386,Ojas Grover,1969-01-01,Female,836266,1
Aadhaar,9568 2769 8095,Widisha Bala,1980-01-01,Female,229865,1
Aadhaar,7854 7338 6174,Darpan Menon,1978-01-01,Female,167659,1
Aadhaar,7247 6364 5766,Samar Mann,1971-01-01,Male,281536,1
Aadhaar,1868 7895 9423,Frado Kar,1958-01-01,Female,227691,1
Aadhaar,8621 9195 3252,Tanvi Morar,1989-01-01,Female,191665,0
Aadhaar,3830 3253 4982,Bhanumati Balasubramanian,1950-01-01,Female,723642,0
Aadhaar,9784 1800 5096,Viraj Deshmukh,1978-01-01,Female,674831,0
Aadhaar,5796 8180 6029,Krishna Khalsa,1984-01-01,Female,423949,1
Aadhaar,1987 5295 1762,Vasatika Sahni,1968-01-01,Male,606809,0
Aadhaar,8475 3463 8952,Falguni Garde,1951-01-01,Male,527265,0
Aadhaar,2515 3723 8358,Damyanti Goel,1950-01-01,Female,316595,1
Aadhaar,3943 8888 9631,Bachittar Chauhan,1998-01-01,Female,333960,1
Aadhaar,6092 1200 5636,Nakul Deol,1997-01-01,Female,409079,0
Aadhaar,8970 4936 2545,Raagini Sidhu,1955-01-01,Female,757705,1
Aadhaar,9746 5914 7630,Harinakshi Saini,1966-01-01,Male,709646,1
Aadhaar,2286 5318 4190,Ekapad Issac,1957-01-01,Male,242663,1
Aadhaar,4698 8401 7753,Manbir Mammen,1961-01-01,Female,866017,0
Aadhaar,6001 7577 3993,Chameli Dube,1967-01-01,Male,552218,1
Aadhaar,2279 3708 4198,Nicholas Dayal,1984-01-01,Male,250995,1
